text,rel_size,bold,indent,caps,numbered,line_len,page,y0_pos,font_hash,label
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,1.0,0,0.175133794148763,0.01834862385321101,0,109,0,0.2477265167236328,3999921036,BODY
"advance, I undertake to refund the entire advance in one lump sum.",1.0,0,0.11673238118489583,0.015151515151515152,0,66,0,0.23302467346191405,3999921036,BODY
Date,1.0,1,0.11673238118489583,0.25,0,4,0,0.18907745361328124,3212130550,BODY
Signature of Government Servant.,1.0,1,0.6717409261067708,0.09375,0,32,0,0.1743755340576172,3212130550,BODY
Overview,2.40963854498791,1,0.42108332316080727,0.125,0,8,0,0.7166149711608887,3049599779,BODY
Foundation Level Extensions,2.40963854498791,1,0.23224332173665366,0.1111111111111111,0,27,0,0.6475849533081055,3049599779,BODY
Version 1.0,1.204819272493955,0,0.45948333740234376,0.09090909090909091,0,11,0,0.49390247344970706,1665136256,BODY
International Software Testing Qualifications Board,1.8072289087409326,0,0.1722333272298177,0.09803921568627451,0,51,0,0.38078502655029295,1665136256,BODY
Copyright Notice,1.0,0,0.11824000040690104,0.125,0,16,0,0.15965248107910157,1665136256,BODY
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",1.0,0,0.11824000040690104,0.010752688172043012,0,93,0,0.145247802734375,1665136256,BODY
International,1.0,0,0.7465166727701823,0.07692307692307693,0,13,1,0.9267274332046509,1665136256,BODY
Overview,1.204819272493955,0,0.12404000600179037,0.125,0,8,1,0.9199649953842163,1665136256,BODY
Software Testing,1.0,0,0.7299166870117187,0.125,0,16,1,0.9123274850845337,1665136256,BODY
Foundation Level Extension –Agile Tester,1.0,0,0.12404000600179037,0.125,0,40,1,0.9019774436950684,1665136256,BODY
Qualifications Board,1.0,0,0.7179166666666666,0.1,0,20,1,0.8979274559020997,1665136256,BODY
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,1.0,0,0.11824000040690104,0.11956521739130435,0,92,1,0.8245524406433106,1665136256,BODY
"Version 2014 Page 2 of 12 May 31, 2014",1.0,0,0.12763559977213543,0.07894736842105263,0,38,1,0.0771893310546875,1122508029,BODY
© International Software Testing Qualifications Board,0.6024096362469775,0,0.12763999938964843,0.09433962264150944,0,53,1,0.05985748291015625,1665136256,BODY
International,1.0,0,0.7465166727701823,0.07692307692307693,0,13,2,0.9267274332046509,1665136256,BODY
Overview,1.204819272493955,0,0.12404000600179037,0.125,0,8,2,0.9199649953842163,1665136256,BODY
Software Testing,1.0,0,0.7299166870117187,0.125,0,16,2,0.9123274850845337,1665136256,BODY
Foundation Level Extension –Agile Tester,1.0,0,0.12404000600179037,0.125,0,40,2,0.9019774436950684,1665136256,BODY
Qualifications Board,1.0,0,0.7179166666666666,0.1,0,20,2,0.8979274559020997,1665136256,BODY
Revision History,1.6024096362469775,1,0.11824000040690104,0.125,0,16,2,0.8296503448486328,3049599779,H1
Version Date Remarks,1.0,1,0.12404000600179037,0.15,0,20,2,0.8006028175354004,3049599779,BODY
0.1 18 JUNE 2013 Initial version,1.0,0,0.12404000600179037,0.15625,0,32,2,0.7852524375915527,1665136256,BODY
0.2 23 JULY 2013 WG reviewed and confirmed,1.0,0,0.12404000600179037,0.14285714285714285,0,42,2,0.769952449798584,1665136256,BODY
0.3 6 NOV 2013 amended population and diagram,1.0,0,0.12404000600179037,0.06666666666666667,0,45,2,0.7546524620056152,1665136256,BODY
0.7 11 DEC 2013 Amended Business Outcomes and Chapters matching,1.0,0,0.12404000600179037,0.1111111111111111,0,63,2,0.7393524742126465,1665136256,BODY
0.8 20 DEC 2013 Working group updates on 0.7,1.0,0,0.12404000600179037,0.09090909090909091,0,44,2,0.7240524101257324,1665136256,BODY
1.0 31 MAY 2014 GA release for Agile Extension,1.0,0,0.12404000600179037,0.15217391304347827,0,46,2,0.7087524223327637,1665136256,BODY
"Version 2014 Page 3 of 12 May 31, 2014",1.0,0,0.12763999938964843,0.07894736842105263,0,38,2,0.07718406677246094,1122508029,BODY
© International Software Testing Qualifications Board,0.6024096362469775,0,0.12763999938964843,0.09433962264150944,0,53,2,0.05985748291015625,1665136256,BODY
International,1.0,0,0.7465166727701823,0.07692307692307693,0,13,3,0.9267274332046509,1665136256,BODY
Overview,1.204819272493955,0,0.12404000600179037,0.125,0,8,3,0.9199649953842163,1665136256,BODY
Software Testing,1.0,0,0.7299166870117187,0.125,0,16,3,0.9123274850845337,1665136256,BODY
Foundation Level Extension –Agile Tester,1.0,0,0.12404000600179037,0.125,0,40,3,0.9019774436950684,1665136256,BODY
Qualifications Board,1.0,0,0.7179166666666666,0.1,0,20,3,0.8979274559020997,1665136256,BODY
Table of Contents,1.6024096362469775,1,0.11824000040690104,0.11764705882352941,0,17,3,0.8296503448486328,3049599779,H1
Revision History ..........................................................................................................................................,1.0,1,0.11824000040690104,0.012903225806451613,0,155,3,0.7940028572082519,3049599779,BODY
Table of Contents ........................................................................................................................................,1.0,1,0.11823994954427083,0.012987012987012988,0,154,3,0.7722526741027832,3049599779,BODY
Introduction to the Foundation Level Extensions ............................................................................,1.0,1,0.15163914998372396,0.03225806451612903,0,124,3,0.7503531074523926,3049599779,BODY
Introduction to Foundation Level Agile Tester Extension ...............................................................,1.0,1,0.15163914998372396,0.05042016806722689,0,119,3,0.728453540802002,3049599779,BODY
2.1 Intended Audience .....................................................................................................................,1.0,0,0.1348399353027344,0.014388489208633094,0,139,3,0.7065041923522949,1665136256,BODY
2.2 Career Paths for Testers ............................................................................................................,1.0,0,0.1348399353027344,0.021897810218978103,0,137,3,0.6920995140075683,1665136256,BODY
2.3 Learning Objectives ...................................................................................................................,1.0,0,0.1348565165201823,0.014388489208633094,0,139,3,0.6778069114685059,1665136256,BODY
2.4 Entry Requirements ...................................................................................................................,1.0,0,0.1348565165201823,0.014492753623188406,0,138,3,0.6634022521972657,1665136256,BODY
2.5 Structure and Course Duration ...................................................................................................,1.0,0,0.1348565165201823,0.022556390977443608,0,133,3,0.6489975738525391,1665136256,BODY
2.6 Keeping It Current ......................................................................................................................,1.0,0,0.1348565165201823,0.02127659574468085,0,141,3,0.6345929336547852,1665136256,BODY
Overview of the Foundation Level Extension –Agile Tester Syllabus .........................................,1.0,1,0.15165573120117187,0.06542056074766354,0,107,3,0.6127431869506836,3049599779,BODY
3.1 Business Outcomes .................................................................................................................,1.0,0,0.1348400370279948,0.014814814814814815,0,135,3,0.5907938385009766,1665136256,BODY
3.2 Content ....................................................................................................................................,1.0,0,0.1348400370279948,0.006944444444444444,0,144,3,0.5765385818481445,1665136256,BODY
References ..........................................................................................................................................,1.0,1,0.15163920084635416,0.006711409395973154,0,149,3,0.554688835144043,3049599779,BODY
4.1 Trademarks .............................................................................................................................,1.0,0,0.1348400370279948,0.007142857142857143,0,140,3,0.5327394866943359,1665136256,BODY
4.2 Documents and Web Sites .......................................................................................................,1.0,0,0.13485671997070312,0.022900763358778626,0,131,3,0.518334846496582,1665136256,BODY
"Version 2014 Page 4 of 12 May 31, 2014",1.0,0,0.12766886393229165,0.07894736842105263,0,38,3,0.077154541015625,1122508029,BODY
© International Software Testing Qualifications Board,0.6024096362469775,0,0.12763999938964843,0.09433962264150944,0,53,3,0.05985748291015625,1665136256,BODY
International,1.0,0,0.7465166727701823,0.07692307692307693,0,13,4,0.9267274332046509,1665136256,BODY
Overview,1.204819272493955,0,0.12404000600179037,0.125,0,8,4,0.9199649953842163,1665136256,BODY
Software Testing,1.0,0,0.7299166870117187,0.125,0,16,4,0.9123274850845337,1665136256,BODY
Foundation Level Extension –Agile Tester,1.0,0,0.12404000600179037,0.125,0,40,4,0.9019774436950684,1665136256,BODY
Qualifications Board,1.0,0,0.7179166666666666,0.1,0,20,4,0.8979274559020997,1665136256,BODY
Acknowledgements,1.6024096362469775,0,0.11824000040690104,0.0625,0,16,4,0.8298099517822266,1665136256,H1
This document was produced by a team from the International Software Testing Qualifications Board,1.0,0,0.11824000040690104,0.061855670103092786,0,97,4,0.793952465057373,1665136256,BODY
Foundation Level Working Group.,1.0,0,0.11824000040690104,0.12903225806451613,0,31,4,0.7796972465515136,1665136256,BODY
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,1.0,0,0.11824000040690104,0.04807692307692308,0,104,4,0.7509004020690918,1665136256,BODY
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working",1.0,0,0.11824000040690104,0.09,0,100,4,0.7221035575866699,1665136256,BODY
"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry",1.0,0,0.11824000040690104,0.09574468085106383,0,94,4,0.7078483390808106,1665136256,BODY
"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes",1.0,0,0.11824000040690104,0.12121212121212122,0,99,4,0.693443660736084,1665136256,BODY
"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).",1.0,0,0.11824000040690104,0.10227272727272728,0,88,4,0.6790016746520996,1665136256,BODY
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon",1.0,0,0.11824000040690104,0.12903225806451613,0,93,4,0.650204849243164,1665136256,BODY
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.",1.0,0,0.11824000040690104,0.1267605633802817,0,71,4,0.6358002090454101,1665136256,BODY
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra",1.0,0,0.11824000040690104,0.11235955056179775,0,89,4,0.6071527481079102,1665136256,BODY
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula",1.0,0,0.11824000040690104,0.12371134020618557,0,97,4,0.5927481079101562,1665136256,BODY
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,",1.0,0,0.11824000040690104,0.12631578947368421,0,95,4,0.5783434677124023,1665136256,BODY
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.",1.0,0,0.11824000040690104,0.125,0,56,4,0.5639388275146484,1665136256,BODY
"The team thanks also the following persons, from the National Boards and the Agile expert community,",1.0,0,0.11824000040690104,0.04,0,100,4,0.5352913665771485,1665136256,BODY
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani",1.0,0,0.11824000040690104,0.047619047619047616,0,105,4,0.5208865737915039,1665136256,BODY
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,",1.0,0,0.11824000040690104,0.13541666666666666,0,96,4,0.50648193359375,1665136256,BODY
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill",1.0,0,0.11824000040690104,0.15151515151515152,0,99,4,0.49205238342285157,1665136256,BODY
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter",1.0,0,0.11824000040690104,0.14678899082568808,0,109,4,0.4776477432250977,1665136256,BODY
"Morgan,Ninna Morin,Ingvar Nordstrom,ChrisO’Dea,KlausOlsen, IsmoPaukamainen,Nathalie Phung,",1.0,0,0.11824000040690104,0.15555555555555556,0,90,4,0.46432731628417967,1665136256,BODY
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik",1.0,0,0.11823994954427083,0.13861386138613863,0,101,4,0.4489878463745117,1665136256,BODY
"Sandberg, Dakar Shalom, Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,",1.0,0,0.11823994954427083,0.14130434782608695,0,92,4,0.43458320617675783,1665136256,BODY
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye",1.0,0,0.11823994954427083,0.14,0,100,4,0.4201785659790039,1665136256,BODY
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.",1.0,0,0.11823994954427083,0.13580246913580246,0,81,4,0.40577392578125,1665136256,BODY
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,",1.0,0,0.11823994954427083,0.09375,0,96,4,0.37712646484375,1665136256,BODY
2014.,1.0,0,0.11824000040690104,0.0,0,5,4,0.36272186279296875,1665136256,BODY
"Version 2014 Page 5 of 12 May 31, 2014",1.0,0,0.12763559977213543,0.07894736842105263,0,38,4,0.07711677551269532,1122508029,BODY
© International Software Testing Qualifications Board,0.6024096362469775,0,0.12763999938964843,0.09433962264150944,0,53,4,0.05985748291015625,1665136256,BODY
International,1.0,0,0.7465166727701823,0.07692307692307693,0,13,5,0.9267274332046509,1665136256,BODY
Overview,1.204819272493955,0,0.12404000600179037,0.125,0,8,5,0.9199649953842163,1665136256,BODY
Software Testing,1.0,0,0.7299166870117187,0.125,0,16,5,0.9123274850845337,1665136256,BODY
Foundation Level Extension –Agile Tester,1.0,0,0.12404000600179037,0.125,0,40,5,0.9019774436950684,1665136256,BODY
Qualifications Board,1.0,0,0.7179166666666666,0.1,0,20,5,0.8979274559020997,1665136256,BODY
1. Introduction to the Foundation Level Extensions,1.6024096362469775,1,0.11824000040690104,0.08,0,50,5,0.8121003723144531,1036219642,H1
This overview document is intended for anyone with an interest in the ISTQB Foundation Level,1.0,0,0.11824000040690104,0.08695652173913043,0,92,5,0.7921524620056153,1665136256,BODY
Extensions who wants a high-level introduction to the leading principles and an overview of the individual,1.0,0,0.11824000040690104,0.009433962264150943,0,106,5,0.7777477836608887,1665136256,BODY
extension syllabi.,1.0,0,0.11823997497558594,0.0,0,18,5,0.7633431053161621,1665136256,BODY
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be",1.0,0,0.11823997497558594,0.0594059405940594,0,101,5,0.7346956443786621,1665136256,BODY
"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the",1.0,0,0.11823997497558594,0.029411764705882353,0,102,5,0.7202909660339355,1665136256,BODY
updated document will be available on the ISTQB website.,1.0,0,0.11823997497558594,0.08928571428571429,0,56,5,0.705886287689209,1665136256,BODY
The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for,1.0,0,0.11823997497558594,0.09278350515463918,0,97,5,0.677052059173584,1665136256,BODY
some time. New topics emerge due to technology and methodology changes in the market which often,1.0,0,0.11823997497558594,0.010416666666666666,0,96,5,0.6627968597412109,1665136256,BODY
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the",1.0,0,0.11823997497558594,0.07547169811320754,0,106,5,0.6483921813964844,1665136256,BODY
"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the",1.0,0,0.11824000040690104,0.04716981132075472,0,106,5,0.6339875411987305,1665136256,BODY
ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and,1.0,0,0.11824000040690104,0.06521739130434782,0,92,5,0.6195829010009766,1665136256,BODY
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but",1.0,0,0.11824000040690104,0.0784313725490196,0,102,5,0.6051782608032227,1665136256,BODY
that is beyond the scope of this document.,1.0,0,0.1182400131225586,0.0,0,42,5,0.5907736206054688,1665136256,BODY
The following Foundation Level Extension syllabus has been released:,1.0,0,0.1182400131225586,0.058823529411764705,0,68,5,0.5621261596679688,1665136256,BODY
Agile Tester,1.0,0,0.17824901580810548,0.16666666666666666,0,12,5,0.5468251037597657,1665136256,BODY
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business",1.0,0,0.11825660705566406,0.05,0,100,5,0.5181776428222656,1665136256,BODY
Outcomes are stated. The Business Outcomes communicate what can be expected from a person who,1.0,0,0.11825660705566406,0.043010752688172046,0,93,5,0.5037730026245117,1665136256,BODY
"achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and",1.0,0,0.11825660705566406,0.05660377358490566,0,106,5,0.48934345245361327,1665136256,BODY
will outline the benefits for companies that are considering the development of specific testing skills at this,1.0,0,0.11825660705566406,0.0,0,111,5,0.4749388122558594,1665136256,BODY
level.,1.0,0,0.11825660705566406,0.0,0,6,5,0.4605341720581055,1665136256,BODY
"Version 2014 Page 6 of 12 May 31, 2014",1.0,0,0.12765220642089845,0.07894736842105263,0,38,5,0.0771343994140625,1122508029,BODY
© International Software Testing Qualifications Board,0.6024096362469775,0,0.12763999938964843,0.09433962264150944,0,53,5,0.05985748291015625,1665136256,BODY
International,1.0,0,0.7465166727701823,0.07692307692307693,0,13,6,0.9267274332046509,1665136256,BODY
Overview,1.204819272493955,0,0.12404000600179037,0.125,0,8,6,0.9199649953842163,1665136256,BODY
Software Testing,1.0,0,0.7299166870117187,0.125,0,16,6,0.9123274850845337,1665136256,BODY
Foundation Level Extension –Agile Tester,1.0,0,0.12404000600179037,0.125,0,40,6,0.9019774436950684,1665136256,BODY
Qualifications Board,1.0,0,0.7179166666666666,0.1,0,20,6,0.8979274559020997,1665136256,BODY
2. Introduction to Foundation Level Agile Tester Extension,1.6024096362469775,1,0.11824000040690104,0.10344827586206896,0,58,6,0.8121003723144531,1036219642,H1
The certification for Foundation Level Extension –Agile Tester is designed for professionals who are,1.0,0,0.11824000040690104,0.06,0,100,6,0.7921524620056153,1665136256,BODY
working within Agile environments. It is also for professionals who are planning to start implementing,1.0,0,0.11824002583821615,0.0196078431372549,0,102,6,0.7777477836608887,1665136256,BODY
"Agile methods in the near future, or are working within companies that plan to do so, The certification",1.0,0,0.11824002583821615,0.019417475728155338,0,103,6,0.7633431053161621,1665136256,BODY
"provides an advantage for those who would like to know the required Agile activities, roles, methods, and",1.0,0,0.11825668334960937,0.009523809523809525,0,105,6,0.7489384269714355,1665136256,BODY
methodologies specific to their role.,1.0,0,0.11825668334960937,0.0,0,37,6,0.7346832084655762,1665136256,BODY
2.1 Intended Audience,1.40963854498791,0,0.11824000040690104,0.09523809523809523,1,21,6,0.6971775436401367,1665136256,H2
The Foundation Level Extension –Agile Tester qualification is aimed at four main groups of professionals:,1.0,0,0.11824000040690104,0.05714285714285714,0,105,6,0.6739149284362793,1665136256,BODY
1. Professionals who have achieved in-depth testing experience in traditional methods and would,1.0,0,0.1482362111409505,0.010526315789473684,0,95,6,0.6595102691650391,1665136256,BODY
like to get an Agile Tester Certificate.,1.0,0,0.178232421875,0.075,0,40,6,0.6451055908203125,1665136256,BODY
"2. Junior professional testers who are just starting in the testing profession, have received the",1.0,0,0.14823622385660806,0.010309278350515464,0,97,6,0.6307009506225586,1665136256,BODY
"Foundation Level certificate, and would like to know more aboutthetester’srole in an Agile",1.0,0,0.17823243459065755,0.03333333333333333,0,90,6,0.6162963104248047,1665136256,BODY
environment.,1.0,0,0.17824900309244793,0.0,0,12,6,0.6020410537719727,1665136256,BODY
"3. Professionals who are relatively new to testing and are required to implement test approaches,",1.0,0,0.148252805074056,0.010309278350515464,0,97,6,0.5876364135742187,1665136256,BODY
methods and techniques in their day to day job in Agile projects.,1.0,0,0.17826560974121095,0.015384615384615385,0,65,6,0.5732317733764648,1665136256,BODY
4. Professionals who are experienced in their role (including unit testing) and need more,1.0,0,0.14826941172281902,0.011235955056179775,0,89,6,0.5588271331787109,1665136256,BODY
understanding and knowledge about how to perform and manage testing on all levels in Agile,1.0,0,0.1782656224568685,0.011111111111111112,0,90,6,0.544422492980957,1665136256,BODY
projects.,1.0,0,0.1782656224568685,0.0,0,9,6,0.5300178527832031,1665136256,BODY
"These professionals include people who are in roles such as testers, test analysts, test engineers, test",1.0,0,0.11827321370442709,0.009615384615384616,0,104,6,0.5013703918457031,1665136256,BODY
"consultants, test managers, user acceptance testers, and software developers.",1.0,0,0.118289794921875,0.0,0,77,6,0.48694084167480467,1665136256,BODY
This Foundation Level Extension –Agile Tester certification may also be appropriate for anyone who,1.0,0,0.118289794921875,0.061224489795918366,0,98,6,0.4581439971923828,1665136256,BODY
"wants a deeper understanding of software testing in the Agile world, such as project managers, quality",1.0,0,0.118289794921875,0.00980392156862745,0,102,6,0.4437393569946289,1665136256,BODY
"managers, software development managers, business analysts, IT directors, and management",1.0,0,0.118289794921875,0.022727272727272728,0,88,6,0.42948410034179685,1665136256,BODY
consultants.,1.0,0,0.1182898457845052,0.0,0,12,6,0.41507946014404296,1665136256,BODY
2.2 Career Paths for Testers,1.40963854498791,0,0.11824000040690104,0.10714285714285714,1,28,6,0.36321502685546875,1665136256,H2
"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for",1.0,0,0.11824000040690104,0.057692307692307696,0,104,6,0.3399899291992188,1665136256,BODY
professional testers. A person with the Agile Tester certificate has extended the broad understanding of,1.0,0,0.11824000040690104,0.028846153846153848,0,104,6,0.3255853271484375,1665136256,BODY
testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in,1.0,0,0.11824000040690104,0.01834862385321101,0,109,6,0.31118072509765626,1665136256,BODY
an Agile project.,1.0,0,0.11825663248697917,0.058823529411764705,0,17,6,0.29692543029785157,1665136256,BODY
People possessing an ISTQB Foundation Level Extension –Agile Tester certificate may use the Certified,1.0,0,0.11827323913574218,0.1188118811881188,0,101,6,0.2680912780761719,1665136256,BODY
Tester Foundation Level acronym CTFL-AT.,1.0,0,0.11827321370442709,0.225,0,40,6,0.2536865997314453,1665136256,BODY
2.3 Learning Objectives,1.40963854498791,0,0.11824000040690104,0.08695652173913043,1,23,6,0.20177757263183593,1665136256,H2
"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize,",1.0,0,0.11824000040690104,0.03773584905660377,0,106,6,0.17855247497558593,1665136256,BODY
remember and recall terms and concepts stated in the Foundation Level syllabus.,1.0,0,0.11824000040690104,0.02531645569620253,0,79,6,0.16414779663085938,1665136256,BODY
"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an",1.0,0,0.11824000040690104,0.038461538461538464,0,104,6,0.1355004119873047,1665136256,BODY
extension exam.,1.0,0,0.11824000040690104,0.0,0,15,6,0.12110816955566406,1665136256,BODY
"Version 2014 Page 7 of 12 May 31, 2014",1.0,0,0.12763559977213543,0.07894736842105263,0,38,6,0.07718246459960937,1122508029,BODY
© International Software Testing Qualifications Board,0.6024096362469775,0,0.12763999938964843,0.09433962264150944,0,53,6,0.05985748291015625,1665136256,BODY
International,1.0,0,0.7465166727701823,0.07692307692307693,0,13,7,0.9267274332046509,1665136256,BODY
Overview,1.204819272493955,0,0.12404000600179037,0.125,0,8,7,0.9199649953842163,1665136256,BODY
Software Testing,1.0,0,0.7299166870117187,0.125,0,16,7,0.9123274850845337,1665136256,BODY
Foundation Level Extension –Agile Tester,1.0,0,0.12404000600179037,0.125,0,40,7,0.9019774436950684,1665136256,BODY
Qualifications Board,1.0,0,0.7179166666666666,0.1,0,20,7,0.8979274559020997,1665136256,BODY
"That said, each extension level exam focuses on the learning objectives defined in that extension",1.0,0,0.11824000040690104,0.010309278350515464,0,97,7,0.8389524650573731,1665136256,BODY
"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each",1.0,0,0.11823997497558594,0.0380952380952381,0,105,7,0.8245477867126465,1665136256,BODY
chapter within each particular extension syllabus.,1.0,0,0.11823997497558594,0.0,0,50,7,0.8101431083679199,1665136256,BODY
2.4 Entry Requirements,1.40963854498791,0,0.11824000040690104,0.09090909090909091,1,22,7,0.7726275253295899,1665136256,H2
"To be able to participate in a Foundation Level Extension –Agile Tester exam, candidates must have",1.0,0,0.11824000040690104,0.061224489795918366,0,98,7,0.7494024467468262,1665136256,BODY
obtained the ISTQB Foundation Level certificate.,1.0,0,0.11824000040690104,0.14583333333333334,0,48,7,0.7349977684020996,1665136256,BODY
2.5 Structure and Course Duration,1.40963854498791,0,0.11824000040690104,0.09090909090909091,1,33,7,0.6974775314331054,1665136256,H2
The Foundation Level Extension –Agile Tester syllabus has no shared or common elements with the,1.0,0,0.11824000040690104,0.06315789473684211,0,95,7,0.674214916229248,1665136256,BODY
Foundation Level syllabus.,1.0,0,0.11824000040690104,0.07692307692307693,0,26,7,0.6598102569580078,1665136256,BODY
The syllabi must be taught in the following minimum number of days:,1.0,0,0.11824000040690104,0.014925373134328358,0,67,7,0.6311627960205078,1665136256,BODY
Syllabus Days,1.0,1,0.35368334452311195,0.15384615384615385,0,13,7,0.5980653762817383,3049599779,BODY
Baseline: Foundation,1.0,0,0.35368334452311195,0.1,0,20,7,0.5755149841308593,1665136256,BODY
Extension: Agile Tester,1.0,0,0.35368334452311195,0.13043478260869565,0,23,7,0.5530149841308594,1665136256,BODY
